Code_commune_INSEE,Nom_commune,Code_postal
10397,VAUCHONVILLIERS,10140
10398,VAUCOGNE,10240
10400,VAUPOISSON,10700
10401,VENDEUVRE SUR BARSE,10140
10403,VERNONVILLIERS,10200
10405,VERRICOURT,10240
10410,VILLADIN,10290
10419,VILLEMOYENNE,10260
10420,VILLENAUXE LA GRANDE,10370
71037,BISSY SUR FLEY,71460
10430,VILLIERS HERBISSE,10700
71045,BOUHANS,71330
10431,VILLIERS LE BOIS,10210
71047,BOURBON LANCY,71140
10436,VINETS,10700
71054,BRAGNY SUR SAONE,71350
10444,VULAINES,10160
71059,LE BREUIL,71670
11002,AIROUX,11320
71065,BUFFIERES,71250
11003,AJAC,11300
71066,BURGY,71260
11004,ALAIGNE,11240
71068,BURZY,71460
11005,ALAIRAC,11290
71073,CHAGNY,71150
11006,ALBAS,11360
71075,CHALMOUX,71140
11009,ALZONNE,11170
71077,CHAMBILLY,71110
11017,ARTIGUES,11140
71078,CHAMILLY,71510
11020,AURIAC,11330
71085,CHANGE,21340
11039,LA BEZOLE,11300
71091,LA CHAPELLE DU MONT DE FRANCE,71520
11046,BOURIGEOLE,11300
71106,CHAROLLES,71120
11051,BREZILHAC,11270
71120,CHAUFFAILLES,71170
11056,CABRESPINE,11160
71132,CIRY LE NOBLE,71420
11061,CAMBIEURE,11240
71134,NAVOUR SUR GROSNE,71520
11068,CAPENDU,11700
71137,CLUNY,71250
11069,CARCASSONNE,11000
71147,CORTEVAIX,71460
11073,CASSAIGNES,11190
71149,COUCHES,71490
11074,LES CASSES,11320
71151,CREOT,71490
11082,CAUNETTE SUR LAUQUET,11250
71170,DEMIGNY,71150
11090,CEPIE,11300
71175,DICONNE,71330
11091,CHALABRE,11230
71177,DOMMARTIN LES CUISEAUX,71480
11094,CLERMONT SUR LAUQUET,11250
71179,DOMPIERRE SOUS SANVIGNES,71420
11095,COMIGNE,11700
71183,DRACY LES COUCHES,71490
11104,COUNOZOULS,11140
71186,ECUELLES,71350
71187,ECUISSES,71210
71193,ETRIGNY,71240
71193,ETRIGNY,71240
71194,FARGES LES CHALON,71150
71196,LE FAY,71580
71200,FLEURY LA MONTAGNE,71340
71201,FLEY,71390
71204,FRAGNES LA LOYERE,71530
71207,FRETTERANS,71270
71215,GERGY,71590
71217,GERMOLLES SUR GROSNE,71520
71220,GILLY SUR LOIRE,71160
71224,GRANDVAUX,71430
71241,JAMBLES,71640
71253,LANS,71380
71256,LESSARD EN BRESSE,71440
71264,LOURNAND,71250
71266,LUCENAY L EVEQUE,71540
71275,MARCIGNY,71110
71279,LE ROUSSET MARIZY,71220
71280,MARLY SOUS ISSY,71760
71282,MARMAGNE,71710
71284,MARTAILLY LES BRANCION,71700
71290,MAZILLE,71250
71292,MELLECEY,71640
71296,MESSEY SUR GROSNE,71390
71318,MONTPONT EN BRESSE,71470
71321,MOREY,71510
71328,NANTON,71240
71336,OUROUX SUR SAONE,71370
71339,OZOLLES,71120
71353,PLOTTES,71700
71369,REMIGNY,71150
71370,RIGNY SUR ARROUX,71160
71377,ROYER,71700
71380,SAILLENARD,71580
71385,ST AMOUR BELLEVUE,71570
71386,ST ANDRE EN BRESSE,71440
71395,ST BONNET DE VIEILLE VIGNE,71430
71403,ST DENIS DE VAUX,71640
71405,ST DIDIER EN BRESSE,71620
71407,ST DIDIER SUR ARROUX,71190
71410,ST ETIENNE EN BRESSE,71370
71417,ST GENGOUX LE NATIONAL,71460
71437,ST LAURENT EN BRIONNAIS,71800
71438,ST LEGER DU BOIS,71360
71441,ST LEGER SOUS LA BUSSIERE,71520
71443,ST LOUP GEANGES,71350
71447,ST MARD DE VAUX,71640
71448,ST MARTIN BELLE ROCHE,71118
